0,1,2
India 183 (54.4 overs),v,West Indies 140 (52 overs)
Krishnamachari Srikkanth 38 (57) Andy Roberts 3/32 (10 overs),,Viv Richards 33 (28) Mohinder Amarnath 3/12 (7 overs)
